hour,k_1_Avg,k_2_Avg,k_3_Avg,k_4_Avg,k_5_Avg,k_6_Avg,k_1_Med,k_2_Med,k_3_Med,k_4_Med,k_5_Med,k_6_Med
0,0.140728260869565,0.0100000000002183,0.581250000000068,0.568977272727269,0.615113207547167,0.861071428571417,0.0100000000000051,0.0100000000002183,0.5775000000001,0.519999999999982,0.605000000000018,0.732499999999959
1,0.131402173913064,0.00499999999988177,1.02499999999998,0.648181818181845,0.578339622641513,0.720714285714276,0.0100000000000051,0.00499999999988177,1.01999999999998,0.605000000000018,0.555000000000064,0.682500000000005
2,0.149771739130424,0.00499999999988177,0.693749999999994,0.604136363636366,0.661320754716967,0.828928571428589,0.00999999999999091,0.00499999999988177,0.707499999999982,0.552499999999839,0.610000000000014,0.772500000000036
3,0.146010869565205,0.00500000000010914,0.650000000000006,0.571772727272722,0.674509433962274,0.819642857142875,0.00999999999999091,0.00500000000010914,0.620000000000005,0.529999999999973,0.634999999999991,0.769999999999982
4,0.142576086956543,0.00500000000010914,0.826250000000016,0.598409090909071,0.648301886792452,0.667857142857116,0.0100000000000027,0.00500000000010914,0.75,0.577500000000029,0.629999999999882,0.615000000000009
5,0.150978260869563,0.00999999999999091,0.642499999999956,0.608068181818195,0.623320754716989,0.741571428571461,0.0100000000000027,0.00999999999999091,0.612499999999841,0.612499999999955,0.600000000000023,0.737500000000068
6,0.218152173913033,0.00500000000010914,0.887500000000045,0.628227272727279,0.929886792452829,1.16307142857141,0.0100000000000051,0.00500000000010914,0.807500000000005,0.539999999999964,0.690000000000055,0.927500000000009
7,0.194184782608683,0.00499999999988177,0.789999999999992,0.897863636363651,0.671943396226411,0.819642857142838,0.0100000000000051,0.00499999999988177,0.71999999999997,0.740000000000009,0.629999999999882,0.792499999999905
8,0.335163043478275,0.00499999999988177,0.689999999999998,0.535840909090896,0.778339622641505,0.819714285714298,0.272499999999923,0.00499999999988177,0.707499999999982,0.517499999999984,0.680000000000064,0.715000000000032
9,0.30414130434783,0.410000000000309,0.833750000000038,0.570045454545455,0.646566037735853,0.642428571428569,0.25,0.410000000000309,0.735000000000014,0.492500000000007,0.564999999999941,0.732499999999959
10,0.216130434782611,0.00999999999976353,0.452499999999986,0.735795454545454,0.62613207547169,0.69871428571428,0.224999999999852,0.00999999999976353,0.397500000000036,0.587499999999864,0.589999999999918,0.740000000000009
11,0.200217391304324,0,0.687499999999915,0.570545454545443,0.589283018867932,1.0645,0.240000000000109,0,0.632499999999879,0.517500000000041,0.545000000000073,0.822499999999991
12,0.193184782608714,0.897500000000036,0.506250000000051,0.415431818181819,0.718226415094334,0.780857142857177,0.229999999999791,0.897500000000036,0.487500000000068,0.425000000000068,0.635000000000218,0.732500000000073
13,0.174717391304352,0.460000000000036,0.338750000000005,0.517159090909093,0.653660377358485,0.557714285714277,0.0775000000000821,0.460000000000036,0.379999999999995,0.462499999999977,0.580000000000041,0.517500000000013
14,0.167347826086948,0.212500000000091,0.28249999999997,0.645340909090902,0.549169811320752,0.73392857142855,0.0749999999999886,0.212500000000091,0.329999999999927,0.502499999999998,0.549999999999955,0.675000000000068
15,0.185054347826084,0.189999999999827,0.38250000000005,0.542204545454562,0.573905660377373,0.629642857142865,0.115000000000009,0.189999999999827,0.395000000000095,0.504999999999981,0.529999999999973,0.652500000000032
16,0.0945000000000008,0.284999999999854,0.894999999999982,0.538704545454547,0.598962264150938,0.661071428571392,0.0100000000000051,0.284999999999854,1.03249999999991,0.487500000000068,0.54000000000002,0.602499999999935
17,0.11679347826086,0.737500000000182,0.507499999999993,0.467977272727262,0.638301886792445,1.14821428571431,0.00999999999999091,0.737500000000182,0.5625,0.462500000000006,0.569999999999936,1.13250000000005
18,0.0991304347826119,0.6875,0.185000000000002,0.6153181818182,0.606698113207557,1.02285714285714,0.0100000000000025,0.6875,0.189999999999941,0.515000000000001,0.555000000000064,0.947499999999934
19,0.0938369565217486,0.612499999999955,0.206250000000011,0.62779545454543,0.590943396226401,0.73107142857145,0.00999999999999091,0.612499999999955,0.0750000000000455,0.539999999999964,0.524999999999977,0.685000000000059
20,0.152858695652166,0.8125,0.129999999999995,0.601795454545469,0.666792452830197,0.71478571428569,0.01,0.8125,0.0724999999999909,0.490000000000009,0.610000000000014,0.729999999999905
21,0.110021739130444,1.39999999999986,0.207499999999982,0.5339318181818,0.751849056603776,0.699142857142898,0.00999999999999091,1.39999999999986,0.0774999999999864,0.5,0.639999999999873,0.677500000000123
22,0.132586956521754,0.411000000000058,0.246250000000003,0.581022727272752,0.604849056603769,0.714642857142869,0.0100000000000051,0.411000000000058,0.252500000000055,0.552500000000009,0.550000000000011,0.60650000000004
23,0.107304347826064,0.631500000000187,1.45124999999999,0.538136363636354,0.674094339622637,0.726071428571389,0.00999999999999091,0.631500000000187,1.52499999999998,0.519999999999982,0.619999999999891,0.737499999999955
